#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
317,intrinsic value of an option formula,us,,20,,,,,,20,,,2017-12-02,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
318,intrinsic value of stock example,us,,20,,,,,,30,,,2016-11-22,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
319,ibm intrinsic value,us,0,20,,,ibm intrinsic value,2026-01-02 19:18:48,"AI Overview,Thumbnail,People also ask,Sitelinks",20,0,0,2017-12-05,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
320,occidental petroleum intrinsic value,us,,20,,,,,,40,,,2020-03-09,,,,,
321,nvidia nvda intrinsic value estimate 2025,us,,20,,,,,,20,,,2025-04-18,,,,,
322,amazon intrinsic value analysis 2025,us,,20,,,,,,20,,,2025-04-03,,,,,
323,mfs international intrinsic value,us,0,20,,,mfs international intrinsic value,2026-02-01 14:38:19,People also ask,20,30,30,2020-01-15,"Informational,Branded,Non-local",English,,,Finance/Investing/Funds
324,chevron intrinsic value,us,0,20,,,cvx intrinsic value,2026-03-15 22:42:17,"AI Overview,Thumbnail,People also ask",20,20,20,2020-07-11,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
325,smci stock intrinsic value,us,,20,,,,,,30,,,2024-02-01,,,,,
326,coin intrinsic value,us,,20,,,,,,20,,,2021-05-29,,,,,
327,intrinsic value in ethics,us,,20,,,,,,70,,,2015-11-10,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
328,cmg intrinsic value,us,,20,,,,,,20,,,2022-10-12,,,,,
329,suzlon energy intrinsic value,us,,20,,,,,,150,,,2023-07-23,,,,,
330,xom intrinsic value,us,0,20,,,xom intrinsic value,2025-12-29 01:27:33,"AI Overview,Thumbnail,People also ask",30,10,10,2019-01-02,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
331,intrinsic value of amd,us,,20,,,,,,30,,,2017-03-02,,,,,
332,intrinsic value formula excel,us,4,20,,,intrinsic value formula,2025-12-24 07:46:44,"Sitelinks,People also ask",30,70,90,2015-09-14,"Informational,Branded,Non-local",English,,,Computers and Electronics/Software/Business and Productivity Software; Finance/Investing/Stocks and Bonds
333,calculating intrinsic value of a stock,us,10,20,0.70,,intrinsic value formula,2025-11-30 13:22:16,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Top stories,Bottom ads",30,900,1700,2015-10-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
334,institutional intrinsic value manager,us,,20,,,,,,20,,,2023-09-27,,,,,
335,unitedhealth intrinsic value,us,,20,,,,,,30,,,2022-10-10,,,,,
336,can intrinsic value be negative,us,0,20,,,can intrinsic value be negative,2025-12-27 10:34:27,"AI Overview,Thumbnail,People also ask,Sitelinks",40,0,0,2016-03-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
337,intrinsic value of biodiversity,us,,20,,,,,,80,,,2015-10-29,"Informational,Non-branded,Non-local",English,,,Science/Ecology and Environment
338,intrinsic value of a put option,us,3,20,,,moneyness,2025-12-28 05:29:23,"AI Overview,Thumbnail,People also ask,Discussions,Sitelinks,Top stories",30,150,300,2016-12-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
339,palantir intrinsic value estimate,us,,20,,,,,,20,,,2025-05-05,,,,,
340,unh intrinsic value estimate,us,,20,,,,,,20,,,2025-05-06,,,,,
341,figma intrinsic value,us,,20,,,,,,30,,,2025-07-29,,,,,
342,tip intrinsic value,us,,20,,,,,,20,,,2020-06-28,,,,,
343,intrinsic value options formula,us,0,20,,,intrinsic value of option formula,2026-03-16 16:26:57,"AI Overview,Thumbnail,People also ask,Sitelinks",40,150,200,2018-09-04,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
344,national beverage corp intrinsic value estimate,us,,20,,,,,,20,,,2025-11-20,,,,,
345,suzlon intrinsic value,us,,20,,,,,,300,,,2020-06-23,,,,,
346,intrinsic and extrinsic value of options,us,,20,,,,,,40,,,2020-03-19,,,,,
347,robinhood intrinsic value,us,,20,,,,,,30,,,2021-08-04,,,,,
348,nflx intrinsic value,us,1,20,,,netflix valuation,2026-03-17 04:19:10,"AI Overview,Thumbnail,People also ask",40,80,80,2017-02-23,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
349,intrinsic value stock calculator,us,3,20,0.70,,intrinsic value calculator,2026-02-28 15:49:33,"Video preview,People also ask,Sitelinks,Bottom ads",50,1000,3700,2016-03-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
350,amzn stock intrinsic value,us,1,20,,,amazon intrinsic value,2026-01-04 02:58:29,"AI Overview,Thumbnail,People also ask,Video preview",20,250,400,2022-01-24,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
351,why does gold have intrinsic value,us,,20,,,,,,20,,,2018-04-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Commodities and Futures Trading
352,lululemon intrinsic value estimate,us,,20,,,,,,20,,,2025-06-17,,,,,
353,coal india intrinsic value,us,,20,,,,,,300,,,2020-04-16,,,,,
354,asml intrinsic value dcf,us,,20,,,,,,30,,,2025-04-08,,,,,
355,ionq intrinsic value analysis,us,,20,,,,,,20,,,2025-05-16,,,,,
356,micron intrinsic value,us,,20,,,,,,40,,,2018-03-23,,,,,
357,amazon intrinsic value estimate 2025,us,,20,,,,,,20,,,2025-04-22,,,,,
358,pe multiple calculator intrinsic value formula,us,,20,,,,,,20,,,2025-11-11,,,,,
359,crwv intrinsic value,us,,20,,,,,,20,,,2025-05-15,,,,,
360,amazon amzn intrinsic value estimate,us,,20,,,,,,20,,,2025-04-06,,,,,
361,ford intrinsic value,us,0,20,,,ford intrinsic value,2025-12-27 13:06:33,"AI Overview,Thumbnail,People also ask",20,20,30,2020-01-13,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
362,what is the intrinsic value of a stock,us,22,20,0.04,,intrinsic value formula,2026-01-03 08:10:33,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",30,700,1300,2016-06-16,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
363,orcl intrinsic value,us,,20,,,,,,30,,,2023-12-12,,,,,
364,ttd intrinsic value,us,,20,,,,,,40,,,2019-10-04,,,,,
365,tsm stock intrinsic value,us,,20,,,,,,30,,,2021-03-04,,,,,
366,brk b intrinsic value,us,0,20,,,brk b intrinsic value,2025-12-27 22:01:03,"AI Overview,People also ask,Sitelinks",40,20,20,2018-03-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
367,ev/ebitda intrinsic value calculation formula,us,,20,,,,,,20,,,2025-10-07,,,,,
368,benjamin graham intrinsic value calculator,us,0,20,,,intrinsic value of stock calculator,2026-03-01 10:14:58,"People also ask,Video preview",30,20,50,2015-09-05,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
369,salesforce intrinsic value,us,,20,,,,,,50,,,2020-04-02,,,,,
370,value investing calculating intrinsic value,us,,20,,,,,,30,,,2020-03-17,,,,,
371,eli lilly intrinsic value,us,,20,,,,,,40,,,2023-06-07,,,,,
372,sbi intrinsic value,us,,20,,,,,,300,,,2020-08-05,,,,,
373,graham intrinsic value formula,us,3,20,,,benjamin graham formula,2025-11-15 20:50:16,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",70,100,150,2016-03-16,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
374,bmy intrinsic value,us,,20,,,,,,20,,,2020-04-23,,,,,
375,intrinsic value of warrants,us,,20,,,,,,20,,,2020-05-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
376,nike stock intrinsic value,us,,20,,,,,,30,,,2016-04-27,,,,,
377,amd intrinsic value analysis,us,,20,,,,,,30,,,2025-03-31,,,,,
378,intrinsic value stock screener,us,6,20,1.20,,intrinsic value,2026-01-06 06:54:08,Sitelinks,40,1300,5400,2016-05-09,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
379,intrinsic value of reliance,us,,20,,,,,,70,,,2020-03-08,,,,,
380,mstr intrinsic value,us,,20,,,,,,50,,,2024-03-01,,,,,
381,does bitcoin have any intrinsic value,us,,20,,,,,,30,,,2017-08-07,,,,,
382,super micro computer smci intrinsic value,us,,20,,,,,,20,,,2025-04-09,,,,,
383,fizz stock intrinsic value,us,,20,,,,,,20,,,2025-11-24,,,,,
384,intrinsic value calculator stock,us,4,20,,,intrinsic value calculator,2026-03-09 02:13:08,"Video preview,People also ask",30,800,2900,2015-11-09,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
385,wmt intrinsic value,us,,20,,,,,,20,,,2018-07-02,,,,,
386,intrinsic value of real estate,us,1,20,,,intrinsic value,2025-11-29 17:50:24,"Sitelinks,People also ask",30,800,2100,2017-11-30,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Real Estate Investment Trusts; Real Estate
387,intrinsic vs market value,us,,20,0.06,,,,,30,,,2016-06-29,,,,,
388,fiserv intrinsic value,us,,20,,,,,,30,,,2025-05-28,,,,,
389,nvidia intrinsic value nvda,us,,20,,,,,,20,,,2025-04-08,,,,,
390,option intrinsic value formula,us,2,20,,,intrinsic value of option formula,2025-12-22 19:27:20,"AI Overview,Thumbnail,People also ask",40,150,200,2017-06-30,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
391,novo nordisk intrinsic value 2025,us,,20,,,,,,20,,,2025-03-31,,,,,
392,fizz stock intrinsic value estimate,us,,20,,,,,,20,,,2025-11-18,,,,,
393,nvidia nvda intrinsic value analysis,us,,20,,,,,,20,,,2025-04-04,,,,,
394,book value vs intrinsic value,us,,20,,,,,,60,,,2017-03-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
395,dell intrinsic value,us,,20,,,,,,30,,,2020-05-20,,,,,
396,coreweave intrinsic value,us,,20,,,,,,30,,,2025-04-16,,,,,
397,palantir pltr intrinsic value,us,,20,,,,,,20,,,2025-04-27,,,,,
398,man stock intrinsic value,us,,20,,,,,,20,,,2025-06-17,,,,,
399,pfe stock intrinsic value,us,0,20,,,pfizer intrinsic value,2025-12-28 06:10:33,People also ask,20,40,40,2021-03-11,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
400,intrinsic value of msft,us,2,20,,,msft intrinsic value,2026-01-04 21:19:49,People also ask,30,200,250,2020-02-23,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
401,no intrinsic value,us,9,20,,,no intrinsic value,2026-03-11 22:33:34,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",30,0,0,2015-12-07,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Currencies and Foreign Exchange; Finance/Investing/Derivatives
402,option intrinsic value definition,us,,20,,,,,,20,,,2020-02-04,,,,,
403,intrinsic value of apple stock,us,3,20,,,apple intrinsic value,2025-12-24 08:44:23,"AI Overview,Thumbnail,People also ask,Top stories,Video preview,Sitelinks",30,250,400,2017-05-28,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
404,mfs international intrinsic value r6,us,0,20,,,mfs international intrinsic value r6,2026-02-24 12:03:47,People also ask,20,20,20,2019-11-06,"Informational,Branded,Non-local",English,,,Finance/Investing/Funds
405,intrinsic value economics,us,24,20,0.05,,intrinsic value,2026-01-05 19:45:01,"AI Overview,Thumbnail,Sitelinks,People also ask",50,2100,8600,2015-10-26,"Informational,Non-branded,Non-local",English,,,Finance/Investing
406,stocks intrinsic value,us,,20,,,,,,30,,,2017-12-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
407,starbucks intrinsic value,us,0,20,,,how much is starbucks worth,2026-01-01 13:44:29,"AI Overview,Thumbnail,People also ask",30,30,60,2016-02-19,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
408,nvidia intrinsic value dcf,us,,20,,,,,,20,,,2025-04-03,,,,,
409,intrinsic value of nvidia stock,us,,20,,,,,,40,,,2015-11-28,,,,,
410,how to calculate intrinsic value of stock,us,12,20,0.80,,intrinsic value,2026-01-07 10:11:18,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",40,1300,5500,2016-01-30,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
411,put option intrinsic value calculation formula,us,,20,,,,,,20,,,2025-05-08,,,,,
412,nvidia nvda intrinsic value,us,,20,,,,,,20,,,2025-04-16,,,,,
413,intrinsic value example ethics,us,4,20,,,intrinsic values,2025-12-23 21:03:27,"People also ask,Sitelinks",30,350,600,2019-10-21,"Informational,Non-branded,Non-local",English,"18, 6, 4, 8, 15, 10, 28, 19, 11, 8, 15, 15, 5, 12, 16, 16, 16, 23, 18, 30, 17, 12, 21, 18",0,Reference/Humanities/Philosophy
414,aapl intrinsic value estimate,us,,20,,,,,,20,,,2025-05-08,,,,,
415,intrinsic value calculation example,us,,20,,,,,,40,,,2019-02-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
416,goog stock intrinsic value,us,,20,,,,,,20,,,2022-04-10,,,,,
417,calculating intrinsic value,us,12,20,1.30,1.19,intrinsic value,2026-01-08 07:06:19,"Sitelinks,People also ask,Video preview,Top stories,Thumbnail",30,1400,5500,2015-09-22,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
418,msft intrinsic value estimate,us,,20,,,,,,20,,,2025-04-29,,,,,
419,palantir stock intrinsic value,us,,20,,,,,,30,,,2021-11-09,,,,,
420,intel stock intrinsic value,us,,20,,,,,,30,,,2018-03-14,,,,,
421,intrinsic stock value calculator,us,7,20,0.70,,intrinsic value calculator,2026-03-01 11:08:32,"Sitelinks,Video preview",30,1000,3700,2016-04-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
422,intrinsic value of aapl,us,4,20,,,apple intrinsic value,2025-11-30 13:04:30,"AI Overview,Thumbnail,People also ask",20,200,300,2016-03-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
423,tsmc intrinsic value estimate,us,,20,,,,,,20,,,2025-04-21,,,,,
424,how to find intrinsic value of option,us,2,20,,,intrinsic value of option formula,2025-12-26 08:03:43,"AI Overview,Thumbnail,People also ask,Sitelinks",50,150,200,2016-10-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
425,pepsico intrinsic value,us,,20,,,,,,60,,,2020-06-14,,,,,
426,intrinsic value gold,us,2,20,,,does gold have intrinsic value,2026-01-07 09:13:34,"AI Overview,Thumbnail,Sitelinks,People also ask",30,50,50,2017-04-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Commodities and Futures Trading
427,intrinsic value nvidia,us,,20,,,,,,60,,,2020-11-10,,,,,
428,intrinsic value of life,us,,20,,,,,,30,,,2015-10-26,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
429,anet intrinsic value,us,,20,,,,,,20,,,2024-02-12,,,,,
430,fizz stock intrinsic value analysis,us,,20,,,,,,20,,,2025-11-20,,,,,
431,intrinsic value calculation methods stocks,us,,20,,,,,,30,,,2025-03-09,,,,,
432,intrinsic and instrumental value,us,7,20,,0.84,instrumental value,2026-01-06 03:58:32,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",40,250,350,2015-10-27,"Informational,Non-branded,Non-local",English,"12, 10, 6, 8, 12, 12, 53, 31, 25, 13, 30, 25, 33, 6, 14, 14, 28, 17, 21, 41, 25, 39, 23, 16",0,Jobs and Education/Education
433,ups intrinsic value analysis,us,,20,,,,,,20,,,2025-06-17,,,,,
434,intrinsic value unh,us,,20,,,,,,30,,,2016-01-19,,,,,
435,tsla stock intrinsic value,us,6,20,,,tesla intrinsic value,2026-03-15 18:31:32,"AI Overview,Thumbnail,People also ask",20,400,700,2017-02-22,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
436,intrinsic value course,us,,20,,,,,,40,,,2018-10-10,,,,,
437,intrinsic value def,us,45,20,,,intrinsic value,2026-03-18 06:15:33,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",30,2000,5500,2016-09-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing
438,intrinsic value of meta,us,0,20,,,meta intrinsic value,2026-03-16 18:14:17,"AI Overview,Thumbnail,People also ask,Video preview",40,200,300,2022-01-18,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
439,pep intrinsic value,us,,20,,,,,,30,,,2020-03-28,,,,,
440,intrinsic value of stock options,us,1,20,1.80,,intrinsic value options,2025-12-27 19:15:29,"People also ask,Sitelinks,Bottom ads,Paid sitelinks",30,800,1400,2016-01-24,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
441,intrinsic value of equity,us,,20,,,,,,30,,,2016-04-29,"Informational,Non-branded,Non-local",English,"14, 31, 8, 4, 3, 3, 7, 5, 8, 12, 5, 11, 13, 44, 12, 5, 12, 16, 6, 13, 27, 19, 7, 6",0,Finance/Investing/Stocks and Bonds
442,stock intrinsic value formula,us,12,20,,,intrinsic value formula,2025-12-31 16:15:29,"Top ads,Paid sitelinks,Sitelinks,People also ask,Video preview,Bottom ads",30,700,1400,2016-04-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
443,intrinsic value vs market price,us,,20,,,,,,40,,,2015-09-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
444,what is the intrinsic value of nvidia stock,us,,20,,,,,,30,,,2023-06-14,,,,,
445,does commodity money have intrinsic value,us,2,20,,,commodity money,2025-12-01 04:12:30,"AI Overview,Thumbnail,People also ask,Sitelinks",20,1100,3000,2017-09-18,"Informational,Non-branded,Non-local",English,,,Finance
446,qcom intrinsic value,us,0,20,,,qcom intrinsic value,2025-12-27 09:38:02,"AI Overview,Thumbnail,People also ask,Sitelinks",30,10,30,2020-03-31,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
447,apld intrinsic value,us,,20,,,,,,30,,,2024-12-08,,,,,
448,intrinsic value of a bond,us,11,20,,,intrinsic value,2025-12-29 05:30:42,"Sitelinks,People also ask",30,2100,5800,2015-10-24,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
449,microsoft intrinsic value 2025,us,,20,,,,,,20,,,2025-03-21,,,,,
450,yes bank intrinsic value,us,,20,,,,,,200,,,2020-01-31,,,,,
451,intrinsic value of infosys,us,,20,,,,,,150,,,2020-02-11,,,,,
452,intrinsic value of google stock,us,,20,,,,,,20,,,2015-11-28,,,,,
453,adobe stock intrinsic value,us,,20,,,,,,30,,,2022-01-27,,,,,
454,intrinsic human value,us,,20,,,,,,30,,,2016-09-01,"Informational,Non-branded,Non-local",English,,,People and Society/Social Issues and Advocacy/Ethics
455,sofi technologies intrinsic value,us,,20,,,,,,20,,,2025-03-11,,,,,
456,tata power intrinsic value,us,,20,,,,,,300,,,2020-05-08,,,,,
457,amat intrinsic value,us,,20,,,,,,20,,,2018-11-22,,,,,
458,indian stocks trading below intrinsic value 2025,us,,20,,,,,,20,,,2025-04-15,,,,,
459,intrinsic value vs extrinsic,us,,20,,,,,,30,,,2015-10-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources
460,apple intrinsic value analysis,us,,20,,,,,,20,,,2025-04-06,,,,,
461,schd intrinsic value,us,0,20,,,schd fair value,2026-02-25 08:57:00,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",20,20,20,2023-02-18,"Informational,Branded,Non-local",English,,,Finance/Investing/Funds
462,alphabet intrinsic value estimate,us,,20,,,,,,30,,,2025-05-14,,,,,
463,tip intrinsic value course review,us,,20,,,,,,30,,,2020-04-03,,,,,
464,msft stock intrinsic value,us,,20,,,,,,30,,,2018-03-14,,,,,
465,what has intrinsic value,us,36,20,,,intrinsic value definition,2026-01-07 15:06:27,"Sitelinks,People also ask",30,400,700,2015-10-07,"Informational,Non-branded,Non-local",English,,,Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
466,mu stock intrinsic value,us,,20,,,,,,20,,,2021-08-29,,,,,
467,alphabet googl intrinsic value estimate,us,,20,,,,,,20,,,2025-04-09,,,,,
468,intrinsic value calculator free,us,4,20,,,intrinsic value calculator,2026-03-17 17:48:47,"Sitelinks,People also ask",60,200,400,2021-01-13,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
469,intrinsic value of a call option formula,us,,20,,,,,,20,,,2016-03-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
470,intrinsic value of a company,us,14,20,0.05,,intrinsic value,2025-12-29 18:10:54,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",50,2100,5800,2016-04-19,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
471,intrinsic value formula with example,us,15,20,,,intrinsic value formula,2026-01-05 16:28:54,"Sitelinks,People also ask",40,700,1300,2019-03-27,"Informational,Non-branded,Non-local",English,"21, 27, 22, 20, 18, 17, 18, 20, 22, 18, 15, 22, 21, 27, 22, 20, 18, 17, 18, 20, 22, 18, 15, 22","21, 27, 22, 20, 18, 17, 18, 20, 22, 18, 15, 22, 21",Finance/Investing/Stocks and Bonds
472,trip.com intrinsic value,us,,20,,,,,,20,,,2025-06-18,,,,,
473,difference between intrinsic and extrinsic value,us,,20,,,,,,50,,,2016-12-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
474,costco stock intrinsic value,us,,20,,,,,,20,,,2021-04-09,,,,,
475,apple intrinsic value estimate 2025,us,,20,,,,,,20,,,2025-05-03,,,,,
476,microsoft intrinsic value analysis,us,,20,,,,,,20,,,2025-04-02,,,,,
477,intrinsic value of google,us,3,20,,,google intrinsic value,2026-01-08 00:58:32,"AI Overview,Thumbnail,People also ask,Sitelinks",40,200,350,2016-03-15,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
478,how to find the intrinsic value of a stock,us,10,20,0.60,1.16,intrinsic value formula,2026-01-03 19:45:53,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Top stories,Bottom ads",60,700,1300,2015-09-18,"Informational,Non-branded,Non-local",English,"37, 39, 24, 27, 24, 34, 25, 30, 30, 35, 34, 24, 30, 27, 19, 17, 18, 15, 16, 14, 19, 13, 22, 23","23, 26, 19, 18, 17, 18, 18, 21, 23, 21, 22, 23, 22",Finance/Investing/Stocks and Bonds
479,sana biotechnology intrinsic value,us,,20,,,,,,20,,,2025-05-11,,,,,
480,option intrinsic value calculator,us,33,20,,,options calculator,2026-03-02 21:27:47,"Sitelinks,People also ask",40,13000,18000,2018-06-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
481,tgt stock intrinsic value,us,,20,,,,,,20,,,2023-07-01,,,,,
482,crm stock intrinsic value,us,,20,,,,,,20,,,2021-03-05,,,,,
483,celh intrinsic value,us,,20,,,,,,20,,,2024-01-31,,,,,
484,vz intrinsic value,us,0,20,,,verizon valuation,2026-01-05 16:28:17,"AI Overview,Thumbnail,People also ask",20,20,20,2018-12-07,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
485,brk.b intrinsic value,us,0,20,,,brk b intrinsic value,2026-01-03 06:12:56,"AI Overview,Thumbnail,People also ask,Sitelinks",20,20,20,2017-04-18,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
486,what is the opposite of intrinsic value,us,,20,,,,,,20,,,2017-09-24,,,,,
487,time value vs intrinsic value,us,2,20,,,intrinsic value options,2025-12-22 12:31:38,"AI Overview,Thumbnail,People also ask,Sitelinks",20,700,1400,2015-12-05,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
488,ryi stock intrinsic value,us,,20,,,,,,20,,,2025-06-17,,,,,
489,nvidia intrinsic value dcf analysis 2025,us,,20,,,,,,20,,,2025-04-08,,,,,
490,palantir pltr intrinsic value estimate,us,,20,,,,,,20,,,2025-04-24,,,,,
491,berkshire hathaway intrinsic value estimate,us,,20,,,,,,20,,,2025-03-28,,,,,
492,tata motors intrinsic value analysis,us,,20,,,,,,30,,,2025-03-17,,,,,
493,microsoft stock intrinsic value,us,,20,,,,,,40,,,2020-03-20,,,,,
494,stock intrinsic value calculation formula,us,,20,,,,,,30,,,2025-03-06,,,,,
495,intrinsic value of preferred stock formula,us,,20,,,,,,20,,,2015-12-11,,,,,
496,amazon stock intrinsic value analysis,us,,20,,,,,,20,,,2025-03-17,,,,,
497,hims stock intrinsic value,us,,20,,,,,,20,,,2024-11-27,,,,,
498,apple stock intrinsic value analysis,us,,20,,,,,,20,,,2025-04-04,,,,,
499,intrinsic moral value,us,,20,,,,,,40,,,2015-12-22,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
500,what is intrinsic value of a stock,us,,20,,,,,,40,,,2016-09-20,,,,,
501,intrinsic value and extrinsic value,us,5,20,,,intrinsic vs extrinsic value,2025-12-22 20:54:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",90,500,800,2018-02-15,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
502,ko stock intrinsic value,us,,20,,,,,,20,,,2020-03-14,,,,,
503,how to calculate intrinsic value of a company,us,22,20,0.05,,intrinsic value formula,2025-11-02 23:10:32,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",40,1100,2100,2015-10-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
504,tesla stock intrinsic value analysis,us,,20,,,,,,20,,,2025-03-10,,,,,
505,nvda intrinsic value analysis,us,,20,,,,,,20,,,2025-04-29,,,,,
506,elf intrinsic value,us,,20,,,,,,20,,,2024-03-02,,,,,
507,intrinsic value of amazon,us,0,20,,,amazon intrinsic value,2025-12-23 22:23:27,"AI Overview,Thumbnail,People also ask,Top stories",50,300,400,2017-04-30,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
508,intrinsic value of pltr,us,,20,,,,,,20,,,2021-05-29,,,,,
509,jpm intrinsic value,us,1,20,,,jpm intrinsic value,2025-12-30 04:48:41,"AI Overview,Thumbnail,People also ask",30,10,20,2016-01-19,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
510,baba stock intrinsic value,us,0,20,,,baba intrinsic value,2025-11-26 03:44:16,"AI Overview,Thumbnail,People also ask,Sitelinks",20,30,40,2018-03-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
511,pg intrinsic value,us,0,20,,,pg intrinsic value,2025-12-30 16:09:18,"AI Overview,Thumbnail,People also ask",30,10,10,2017-07-22,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
512,stock intrinsic value calculator excel,us,0,20,,,intrinsic value calculator excel,2026-03-17 14:02:23,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",60,10,10,2016-01-18,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
513,lmt intrinsic value,us,,20,,,,,,30,,,2020-09-24,,,,,
