#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
80,do warrants have intrinsic value,us,0,50,,,warrant valuation,2026-03-16 00:42:17,"AI Overview,Thumbnail,People also ask,Video preview,Sitelinks",50,30,30,2018-04-25,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
81,intrinsic value definition ethics,us,1,50,,0.45,intrinsic values,2025-12-23 18:00:09,"Sitelinks,People also ask",60,350,600,2015-11-10,"Informational,Non-branded,Non-local",English,"39, 28, 30, 32, 23, 30, 78, 66, 32, 46, 85, 65, 80, 75, 76, 29, 32, 34, 59, 58, 38, 26, 48, 35",0,Reference/Humanities/Philosophy
82,berkshire hathaway intrinsic value,us,0,50,,,berkshire hathaway intrinsic value,2026-03-11 05:35:59,"AI Overview,Thumbnail,People also ask,Video preview,Sitelinks,Top stories",80,10,10,2015-09-23,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
83,calculate intrinsic value,us,12,50,1.30,0.98,intrinsic value calculator,2026-03-11 14:38:22,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",100,700,3300,2015-09-26,"Informational,Non-branded,Non-local",English,"129, 133, 123, 105, 89, 89, 84, 88, 85, 97, 117, 84, 87, 85, 58, 51, 58, 51, 46, 48, 41, 37, 42, 46","54, 61, 51, 36, 25, 22, 22, 41, 51, 38, 37, 42, 49",Finance/Investing/Stocks and Bonds
84,opposite of intrinsic value,us,8,50,,,intrinsic vs extrinsic value,2025-12-27 11:18:23,"AI Overview,Thumbnail,People also ask,Sitelinks",70,500,900,2015-11-11,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
85,nvidia stock intrinsic value,us,3,50,,,nvda intrinsic value,2026-03-16 14:11:01,"AI Overview,Thumbnail,People also ask",80,300,600,2017-02-10,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
86,amc intrinsic value,us,0,50,,,amc intrinsic value,2026-01-01 18:13:55,"AI Overview,Thumbnail,People also ask,Sitelinks",60,50,50,2016-08-26,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
87,what is an intrinsic value,us,24,50,,,intrinsic value,2025-12-31 01:47:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",90,2100,5800,2016-04-21,"Informational,Non-branded,Non-local",English,,,Finance/Investing
88,intrinsic value of stock calculator,us,1,50,0.60,1.09,intrinsic value calculator,2026-03-12 00:25:18,"Video preview,People also ask",150,700,3300,2015-11-06,"Informational,Non-branded,Non-local",English,"116, 95, 90, 76, 74, 73, 64, 79, 78, 111, 111, 76, 78, 65, 70, 51, 50, 50, 46, 43, 53, 40, 53, 49","55, 50, 51, 41, 39, 32, 36, 52, 54, 52, 51, 47, 53",Finance/Investing/Stocks and Bonds
89,intrinsic value stock,us,12,50,0.00,,intrinsic value formula,2025-11-25 02:54:34,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",90,900,1800,2016-04-26,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
90,nike intrinsic value,us,0,50,,,nike intrinsic value,2026-03-16 23:28:02,People also ask,150,40,90,2016-01-19,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
91,costco intrinsic value,us,0,50,,,costco intrinsic value,2025-12-24 14:50:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",70,30,30,2018-08-19,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
92,google stock intrinsic value,us,4,40,,,google intrinsic value,2025-12-29 10:05:18,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",60,200,350,2018-03-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
93,market value vs intrinsic value,us,3,40,,,market value vs intrinsic value,2026-01-05 00:08:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",70,20,70,2015-12-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
94,intrinsic value of a call option,us,1,40,,,intrinsic value options,2026-01-05 23:43:55,"AI Overview,Thumbnail,People also ask,Top stories",60,700,1300,2016-05-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
95,amazon stock intrinsic value,us,0,40,,,amazon intrinsic value,2025-12-26 16:52:02,"People also ask,Video preview",70,300,400,2017-07-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
96,apple stock intrinsic value,us,3,40,,,apple intrinsic value,2026-02-22 04:45:16,"People also ask,Video preview",60,250,450,2017-02-22,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
97,visa intrinsic value,us,0,40,,,visa valuation,2025-12-19 00:13:45,"AI Overview,Thumbnail,People also ask,Sitelinks",100,20,20,2017-07-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
98,intrinsic value calculation,us,18,40,1.30,,intrinsic value formula,2025-12-29 09:42:01,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",150,700,1400,2015-10-29,"Informational,Non-branded,Non-local",English,"75, 69, 70, 60, 57, 55, 54, 56, 49, 57, 67, 54, 56, 55, 42, 35, 39, 35, 30, 31, 24, 22, 24, 28","27, 29, 25, 22, 23, 29, 24, 28, 24, 25, 24, 27, 27",Finance/Investing/Stocks and Bonds
99,does fiat money have intrinsic value,us,30,40,,,fiat currency,2025-12-31 01:15:07,"AI Overview,Thumbnail,Sitelinks,People also ask",60,7500,18000,2016-03-21,"Informational,Non-branded,Non-local",English,,,Finance
100,intrinsic value of option formula,us,3,40,,,intrinsic value of option formula,2025-12-30 02:33:18,"People also ask,Sitelinks",150,150,200,2016-07-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
101,intrinsic value of nvidia,us,5,40,,,nvidia valuation,2025-12-26 01:16:24,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",100,600,1100,2018-06-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
102,intrinsic value of gold,us,1,40,1.00,0.75,does gold have intrinsic value,2026-03-10 14:12:32,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Top stories",150,50,50,2015-09-23,"Informational,Non-branded,Non-local",English,"51, 49, 33, 25, 25, 34, 26, 34, 52, 63, 63, 40, 51, 42, 37, 29, 30, 22, 31, 65, 37, 41, 49, 45","46, 44, 45, 38, 40, 38, 36, 41, 38, 42, 49, 45, 47",Finance/Investing/Commodities and Futures Trading
103,intrinsic value of call option formula,us,2,40,,,intrinsic value of option formula,2025-12-28 12:02:54,"AI Overview,Thumbnail,People also ask",70,150,200,2015-10-17,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
104,bitcoin intrinsic value,us,33,40,,1.1,does bitcoin have intrinsic value,2026-01-03 14:42:53,"Sitelinks,People also ask,Top stories,Thumbnail",60,50,50,2016-04-10,"Informational,Branded,Non-local",English,,,Finance
105,what is the intrinsic value,us,31,40,,,intrinsic value,2026-01-04 00:25:33,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",80,2100,8600,2016-04-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
106,pfe intrinsic value,us,0,40,,,pfizer intrinsic value,2026-03-12 21:04:21,"AI Overview,Thumbnail,People also ask",50,40,40,2018-12-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
107,free intrinsic value calculator,us,3,40,,,intrinsic value calculator,2026-03-16 16:06:13,"People also ask,Video preview",80,200,400,2016-08-21,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
108,goog intrinsic value,us,3,40,,,google intrinsic value,2026-01-08 01:53:55,"AI Overview,Thumbnail,People also ask,Sitelinks",60,200,350,2020-03-12,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
109,example of intrinsic value,us,32,40,0.09,0.8,intrinsic value,2026-03-16 04:57:48,"AI Overview,Thumbnail,People also ask,Sitelinks",100,2000,4000,2015-09-22,"Informational,Non-branded,Non-local",English,"57, 51, 36, 36, 23, 47, 84, 71, 48, 38, 100, 74, 42, 45, 37, 26, 22, 39, 69, 59, 33, 34, 59, 57","45, 38, 39, 35, 39, 41, 71, 57, 42, 40, 58, 57, 45",Finance; People and Society/Self-Help and Motivational; People and Society/Social Issues and Advocacy; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
110,intrinsic value option,us,2,40,0.01,,intrinsic value options,2026-01-05 13:05:30,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",150,700,1300,2015-10-08,"Informational,Non-branded,Non-local",English,"57, 56, 63, 49, 51, 50, 42, 49, 50, 47, 47, 49, 39, 47, 41, 40, 40, 39, 37, 41, 40, 30, 40, 38","39, 39, 42, 38, 36, 31, 29, 38, 41, 39, 39, 37, 38",Finance/Investing/Derivatives
111,intrinsic value of nvda,us,5,40,,,nvidia valuation,2025-12-26 14:48:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",50,700,1100,2016-03-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
112,amd stock intrinsic value,us,1,40,,,amd intrinsic value,2026-01-07 16:56:33,People also ask,50,150,200,2018-03-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
113,gold intrinsic value,us,1,40,,,does gold have intrinsic value,2025-12-18 06:23:46,"AI Overview,Thumbnail,Sitelinks,People also ask",100,50,50,2016-06-24,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Commodities and Futures Trading
114,intrinsic value in options,us,1,40,0.00,,intrinsic value options,2025-12-26 10:08:32,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,700,1400,2018-12-16,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
115,stock intrinsic value,us,6,40,0.90,1.02,intrinsic value,2026-03-16 18:49:52,"Sitelinks,People also ask,Video preview",90,1000,3000,2015-10-05,"Informational,Non-branded,Non-local",English,"97, 94, 76, 61, 60, 75, 57, 56, 65, 67, 67, 62, 59, 48, 49, 38, 38, 41, 37, 36, 39, 47, 47, 44","45, 43, 51, 43, 40, 39, 40, 47, 45, 46, 46, 44, 44",Finance/Investing/Stocks and Bonds
116,intrinsic value of money,us,19,40,,0.49,intrinsic value,2026-01-08 00:54:38,"AI Overview,Thumbnail,Sitelinks,People also ask",250,2000,8500,2015-09-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing
117,c intrinsic value,us,0,40,,,c intrinsic value,2025-12-26 14:45:33,People also ask,40,20,20,2021-03-08,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
118,warren buffett intrinsic value formula,us,6,40,,,warren buffett intrinsic value formula,2025-12-26 09:41:18,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",70,50,70,2017-01-24,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
119,alibaba intrinsic value,us,0,40,,,baba intrinsic value,2025-12-21 23:39:02,"AI Overview,Thumbnail,People also ask,Sitelinks",90,40,50,2018-03-16,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
120,intrinsic vs extrinsic value examples,us,0,40,,,extrinsic value,2025-12-27 17:43:18,"Featured snippet,People also ask,Discussions,Sitelinks",80,450,700,2016-09-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
121,intrinsic value of stock formula,us,12,40,0.80,1.04,intrinsic value formula,2025-12-21 00:08:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",100,900,1600,2016-04-10,"Informational,Non-branded,Non-local",English,"91, 100, 72, 49, 45, 39, 48, 82, 94, 80, 50, 67, 86, 69, 74, 36, 35, 22, 33, 38, 31, 30, 23, 29","38, 40, 31, 18, 16, 13, 14, 20, 21, 17, 11, 14, 17",Finance/Investing/Stocks and Bonds
122,intrinsic value of call option,us,1,40,,,intrinsic value options,2025-12-28 00:54:52,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks,Video preview",100,800,1400,2015-09-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
123,tesla stock intrinsic value,us,5,40,,,tesla fundamentals,2025-12-27 01:12:48,"AI Overview,Thumbnail,People also ask,Sitelinks",60,1200,1600,2016-12-24,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
124,baba intrinsic value,us,0,40,,,alibaba intrinsic value,2025-11-17 08:55:25,"AI Overview,Thumbnail,People also ask,Sitelinks",100,20,30,2018-04-17,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
125,what is intrinsic value?,us,6,30,,,intrinsic value,2026-03-10 15:15:32,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",40,2000,4000,2016-09-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing
126,intrinsic value psychology,us,1,30,,0.44,intrinsic values,2025-12-24 19:25:02,"AI Overview,Thumbnail,People also ask,Sitelinks",40,70,80,2015-10-29,"Informational,Non-branded,Non-local",English,"37, 47, 27, 21, 24, 33, 51, 30, 39, 30, 24, 40, 20, 18, 31, 12, 29, 15, 25, 41, 31, 22, 18, 22",22,Health/Mental Health
127,intrinsic value definition economics,us,12,30,,,intrinsic value,2026-01-05 08:14:32,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",30,2100,8600,2016-10-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing
128,netflix intrinsic value,us,1,30,,,netflix valuation,2025-12-28 18:11:17,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",80,50,90,2018-04-13,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
129,warren buffett intrinsic value calculator,us,0,30,0.45,,warren buffett intrinsic value calculator,2026-03-15 06:49:32,"Video preview,People also ask",50,10,10,2016-01-07,"Informational,Non-branded,Non-local",English,"36, 17, 42, 35, 36, 34, 47, 30, 93, 64, 35, 34, 45, 33, 40, 40, 36, 35, 19, 15, 22, 21, 29, 23","28, 22, 26, 28, 18, 20, 14, 15, 25, 23, 31, 26, 30",Finance/Investing/Stocks and Bonds
130,options intrinsic vs extrinsic value,us,0,30,,,intrinsic vs extrinsic value options,2025-12-23 22:06:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Discussions",30,100,100,2015-12-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
131,warren buffett intrinsic value calculation,us,11,30,,,,,,60,,,2016-04-25,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
132,pypl intrinsic value,us,0,30,,,paypal intrinsic value,2026-03-16 06:16:35,"AI Overview,Thumbnail,People also ask,Top stories",40,60,90,2020-05-11,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
133,intrinsic value of put option,us,2,30,,,intrinsic value options,2025-11-26 16:15:40,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",80,700,1400,2016-04-13,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
134,khc intrinsic value,us,0,30,,,khc intrinsic value,2026-01-05 05:08:33,"AI Overview,Thumbnail,People also ask",40,0,0,2018-08-13,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
135,intrinsic value equation,us,2,30,0.30,,intrinsic value formula,2025-12-29 14:23:01,"AI Overview,Thumbnail,Sitelinks,People also ask",40,700,1400,2015-09-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
136,intrinsic value investing,us,24,30,,,intrinsic value,2026-01-06 01:23:18,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",60,2100,8600,2017-05-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
137,meta stock intrinsic value,us,1,30,,,meta intrinsic value,2025-11-26 21:14:39,"AI Overview,Thumbnail,People also ask,Video preview",50,100,200,2022-02-07,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
138,target intrinsic value,us,0,30,,,tgt intrinsic value,2026-03-12 23:41:47,People also ask,40,30,40,2021-03-02,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
139,intrinsic value of a person examples,us,1,30,,0.85,intrinsic value of a person,2025-12-26 18:23:29,"People also ask,Sitelinks",30,40,40,2017-05-28,"Informational,Non-branded,Non-local",English,"16, 18, 16, 20, 16, 21, 26, 25, 18, 30, 29, 29, 19, 21, 19, 23, 19, 24, 30, 29, 21, 35, 34, 33","22, 24, 22, 26, 21, 27, 34, 33, 23, 40, 38, 38, 25",People and Society/Self-Help and Motivational; People and Society/Social Issues and Advocacy/Ethics
140,examples of intrinsic value,us,5,30,0.09,0.83,intrinsic value,2026-01-02 01:43:03,"Sitelinks,People also ask",40,2100,5700,2015-09-28,"Informational,Non-branded,Non-local",English,"34, 32, 23, 19, 14, 28, 44, 42, 27, 22, 58, 41, 27, 28, 22, 15, 13, 23, 40, 32, 19, 19, 36, 32","28, 27, 24, 28, 25, 28, 44, 34, 29, 24, 36, 32, 27",Finance/Investing/Stocks and Bonds; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
141,extrinsic vs intrinsic value options,us,0,30,,,intrinsic value vs extrinsic value,2026-01-03 18:00:33,"AI Overview,Thumbnail,Sitelinks,People also ask",30,150,150,2016-10-29,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
142,tgt intrinsic value,us,0,30,,,tgt intrinsic value,2026-01-02 14:06:56,"AI Overview,Thumbnail,People also ask,Sitelinks",40,40,40,2020-04-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
143,jnj intrinsic value,us,0,30,,,johnson and johnson valuation,2026-03-01 02:14:52,"AI Overview,Thumbnail,People also ask,Video preview",40,30,30,2016-11-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
144,intrinsic value of tesla,us,3,30,,,tesla intrinsic value,2026-03-15 23:04:17,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",50,400,700,2017-11-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
145,ko intrinsic value,us,0,30,,,ko intrinsic value,2026-03-16 03:18:58,"AI Overview,Thumbnail,People also ask",50,10,10,2018-09-17,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
146,how to calculate the intrinsic value of a stock,us,14,30,0.60,,intrinsic value formula,2026-03-11 01:15:32,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",70,150,400,2016-04-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
147,tsla intrinsic value,us,6,30,,,tesla valuation,2026-01-03 06:13:55,"AI Overview,Thumbnail,People also ask,Sitelinks",50,700,1100,2016-09-06,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
148,coca cola intrinsic value,us,0,30,,,coca cola valuation,2026-01-07 16:47:10,"AI Overview,Thumbnail,People also ask",70,40,70,2016-10-12,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
149,intrinsic value of stocks,us,5,30,,,intrinsic value,2026-01-08 02:32:00,"AI Overview,Thumbnail,Sitelinks,People also ask",50,1300,5500,2015-10-28,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
150,intrinsic option value,us,0,30,1.80,,intrinsic value,2026-03-17 22:05:00,"AI Overview,Thumbnail,People also ask",40,700,1300,2020-01-16,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
151,intrinsic and extrinsic value,us,6,30,,,intrinsic vs extrinsic value,2025-12-31 05:13:48,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",100,450,800,2015-09-25,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
152,googl intrinsic value,us,4,30,,,google intrinsic value,2025-12-02 02:00:02,"AI Overview,Thumbnail,People also ask,Sitelinks",40,50,70,2016-01-09,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
153,formula for intrinsic value,us,3,30,,,intrinsic value,2026-03-11 03:20:32,"People also ask,Sitelinks,Video preview",60,2000,4000,2015-10-04,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
154,intrinsic value of bitcoin,us,34,30,,1.22,does bitcoin have intrinsic value,2026-01-07 05:18:53,"Sitelinks,People also ask,Top stories,Thumbnail",40,60,60,2017-03-23,"Informational,Branded,Non-local",English,,,Finance/Investing
155,what is the intrinsic value of bitcoin,us,34,30,,,does bitcoin have intrinsic value,2026-01-06 18:19:47,"Sitelinks,People also ask,Top stories,Thumbnail",30,50,50,2017-01-12,"Informational,Branded,Non-local",English,,,Finance/Investing/Currencies and Foreign Exchange
156,intrinsic value formula options,us,2,30,,,intrinsic value of option formula,2025-11-25 21:45:06,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",100,150,200,2016-11-11,"Informational,Non-branded,Non-local",English,"29, 35, 31, 19, 20, 22, 42, 47, 43, 35, 27, 32, 29, 35, 31, 19, 20, 22, 42, 47, 43, 35, 27, 32","29, 35, 31, 19, 20, 22, 42, 47, 43, 35, 27, 32, 29",Finance/Investing/Derivatives
157,nvda stock intrinsic value,us,5,30,,,nvidia valuation,2025-12-22 16:47:09,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",50,600,1000,2021-12-30,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
158,walmart intrinsic value,us,0,30,,,walmart intrinsic value,2025-11-23 00:55:13,"AI Overview,Thumbnail,People also ask",40,20,20,2016-01-15,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
159,nio intrinsic value,us,0,30,,,nio intrinsic value,2026-01-06 05:21:57,"AI Overview,Thumbnail,People also ask",60,20,20,2020-11-27,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
160,intrinsic value simple definition,us,29,30,,,intrinsic value,2026-01-02 21:33:47,"AI Overview,Thumbnail,People also ask,Sitelinks",40,2100,5700,2018-08-30,"Informational,Non-branded,Non-local",English,,,Finance/Investing
161,meaning of intrinsic value,us,4,30,,,intrinsic value,2026-01-02 15:35:22,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",300,2100,5700,2015-10-29,"Informational,Non-branded,Non-local",English,"56, 45, 42, 40, 36, 39, 44, 37, 35, 34, 56, 62, 45, 35, 32, 30, 26, 30, 35, 28, 25, 25, 47, 54","37, 26, 24, 22, 19, 22, 27, 21, 18, 18, 40, 47, 30",Finance/Investing
162,intrinsic value stocks,us,14,30,0.90,,intrinsic value calculator,2026-01-01 20:52:48,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",50,1200,4300,2016-01-08,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
163,intrinsic value.,us,38,30,,0.07,intrinsic value,2025-12-30 07:23:54,"People also ask,Sitelinks,Top stories,Video preview,Thumbnail",50,2100,5800,2015-11-23,"Informational,Non-branded,Non-local",English,,,Finance/Investing
164,intrinsic value vs extrinsic value options,us,0,30,,,intrinsic vs extrinsic value options,2025-11-20 10:48:06,"AI Overview,Thumbnail,Sitelinks,People also ask",40,40,50,2017-10-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
165,whats intrinsic value,us,9,30,,,what is intrinsic value,2026-03-16 11:05:31,"AI Overview,Video preview,People also ask,Sitelinks,Top stories,Thumbnail",50,150,200,2017-10-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing
166,intrinsic value of put option formula,us,2,30,,,intrinsic value formula,2025-12-27 19:50:55,"AI Overview,Thumbnail,People also ask,Sitelinks",60,250,450,2019-04-25,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
167,intc intrinsic value,us,0,30,,,intel intrinsic value,2025-12-31 12:34:54,"AI Overview,Thumbnail,People also ask,Sitelinks",40,80,100,2017-08-23,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
168,does money have intrinsic value,us,7,20,,,fiat currency,2025-12-21 19:40:17,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",30,7300,17000,2015-10-26,"Informational,Non-branded,Non-local",English,,,Finance
169,intrinsic value per share formula,us,1,20,,,intrinsic value formula,2025-12-29 13:18:09,"Featured snippet,People also ask,Sitelinks,Video preview",80,100,100,2015-12-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
170,cvx intrinsic value,us,0,20,,,cvx intrinsic value,2026-01-02 15:37:48,"AI Overview,Thumbnail,People also ask",30,20,20,2015-10-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
171,ben graham intrinsic value formula,us,4,20,,,benjamin graham intrinsic value formula,2025-12-17 20:58:18,"AI Overview,Thumbnail,Sitelinks,People also ask",30,100,150,2016-04-19,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
172,calculate intrinsic value of option,us,1,20,,,intrinsic value of option formula,2026-01-07 05:38:40,"AI Overview,Thumbnail,People also ask",40,100,200,2017-02-04,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
173,intrinsic value call option,us,1,20,,,intrinsic value,2026-03-15 20:41:35,"AI Overview,Thumbnail,People also ask,Sitelinks",40,700,1300,2015-11-27,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
174,intrinsic value of apple,us,1,20,,,apple intrinsic value,2025-12-27 19:48:28,"AI Overview,Thumbnail,People also ask,Video preview",40,250,400,2016-12-08,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
175,put option intrinsic value formula,us,2,20,,,intrinsic value formula,2025-12-30 02:02:02,"People also ask,Sitelinks",40,250,450,2020-01-18,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
176,intrinsic value calculator excel,us,2,20,,1.79,intrinsic value formula excel,2026-03-16 15:17:17,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",40,10,10,2015-10-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
177,call option intrinsic value,us,2,20,,,intrinsic value options,2025-12-23 08:51:54,"People also ask,Sitelinks,Top stories,Thumbnail",40,700,1400,2016-05-02,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
178,what type of money has value based on intrinsic worth,us,8,20,,,what type of money has value based on intrinsic worth,2026-01-06 02:54:53,"AI Overview,Thumbnail,Sitelinks,People also ask",20,0,0,2016-05-07,"Informational,Non-branded,Non-local",English,,,Finance
179,coinbase intrinsic value,us,1,20,,,coinbase fair value,2026-03-17 22:16:47,People also ask,40,0,30,2021-04-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
180,ibm intrinsic value,us,0,20,,,ibm intrinsic value,2026-01-02 19:18:48,"AI Overview,Thumbnail,People also ask,Sitelinks",20,0,0,2017-12-05,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
181,mfs international intrinsic value,us,0,20,,,mfs international intrinsic value,2026-02-01 14:38:19,People also ask,20,30,30,2020-01-15,"Informational,Branded,Non-local",English,,,Finance/Investing/Funds
182,chevron intrinsic value,us,0,20,,,cvx intrinsic value,2026-03-15 22:42:17,"AI Overview,Thumbnail,People also ask",20,20,20,2020-07-11,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
183,xom intrinsic value,us,0,20,,,xom intrinsic value,2025-12-29 01:27:33,"AI Overview,Thumbnail,People also ask",30,10,10,2019-01-02,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
